Row ID,Order ID,31-12-2010,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
11731,IT-2011-3647632,01-01-2011,01-05-2011,Second Class,EM-14140,Eugene Moren,Home Office,Stockholm,Stockholm,Sweden,,EU,North,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium",44.865,3,0.5,-26.055,4.82,High
22253,IN-2011-47883,01-01-2011,01-08-2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,,APAC,Oceania,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",120.366,3,0.1,36.036,9.72,Medium
22254,IN-2011-47883,01-01-2011,01-08-2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,,APAC,Oceania,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",55.242,2,0.1,15.342,1.8,Medium
22255,IN-2011-47883,01-01-2011,01-08-2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",113.67,5,0.1,37.77,4.7,Medium
42433,AG-2011-2040,01-01-2011,01-06-2011,Standard Class,TB-11280,Toby Braunhardt,Consumer,Constantine,Constantine,Algeria,,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",408.3,2,0,106.14,35.46,Medium
48883,HU-2011-1220,01-01-2011,01-05-2011,Second Class,AT-735,Annie Thurman,Consumer,Budapest,Budapest,Hungary,,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",66.12,4,0,29.64,8.17,High
8482,US-2011-118892,02-01-2011,02-06-2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,OFF-BI-10000719,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear",9.576,6,0.4,-0.984,0.81,Medium
8483,US-2011-118892,02-01-2011,02-06-2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,OFF-AP-10002317,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",400.704,2,0.4,20.024,21.38,Medium
8484,US-2011-118892,02-01-2011,02-06-2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,TEC-AC-10001221,Technology,Accessories,"Memorex Memory Card, USB",81.984,2,0.4,-19.136,6.21,Medium
14413,ES-2011-2205486,02-01-2011,02-07-2011,Standard Class,IM-15055,Ionia McGrath,Consumer,Halle,North Rhine-Westphalia,Germany,,EU,Central,OFF-BI-10001249,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",21.06,3,0,10.53,1.86,Medium
14414,ES-2011-2205486,02-01-2011,02-07-2011,Standard Class,IM-15055,Ionia McGrath,Consumer,Halle,North Rhine-Westphalia,Germany,,EU,Central,OFF-BI-10001717,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",11.82,2,0,4.2,0.93,Medium
16726,ES-2011-5268439,02-01-2011,02-03-2011,Second Class,GH-14485,Gene Hale,Corporate,La Rochelle,Poitou-Charentes,France,,EU,Central,OFF-EN-10004597,Office Supplies,Envelopes,"GlobeWeis Peel and Seal, Set of 50",21.39,1,0,0,3.34,High
16727,ES-2011-5268439,02-01-2011,02-03-2011,Second Class,GH-14485,Gene Hale,Corporate,La Rochelle,Poitou-Charentes,France,,EU,Central,OFF-AR-10001529,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",139.65,5,0,15.3,19.23,High
19796,ES-2011-5460465,02-01-2011,02-05-2011,Standard Class,RR-19315,Ralph Ritter,Consumer,Parma,Emilia-Romagna,Italy,,EU,South,OFF-AR-10000980,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",78.3,3,0,20.34,6.03,Medium
21613,IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,TEC-CO-10002316,Technology,Copiers,"Brother Personal Copier, Laser",285.78,2,0,71.4,57.3,Critical
21614,IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy",22.65,5,0,9.6,5.29,Critical
21615,IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,OFF-SU-10000484,Office Supplies,Supplies,"Kleencut Ruler, High Speed",40.68,3,0,11.79,11.13,Critical
21616,IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,OFF-LA-10001292,Office Supplies,Labels,"Smead File Folder Labels, Adjustable",20.34,3,0,9.9,3.78,Critical
23688,ID-2011-56493,02-01-2011,02-03-2011,Second Class,SP-20650,Stephanie Phelps,Corporate,Yingcheng,Hubei,China,,APAC,North Asia,OFF-ST-10002161,Office Supplies,Storage,"Tenex Trays, Single Width",162.72,3,0,68.31,44.36,Critical
25293,IN-2011-36074,02-01-2011,02-05-2011,Second Class,DK-13150,David Kendrick,Corporate,Chongqing,Chongqing,China,,APAC,North Asia,OFF-AP-10001254,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Red",352.35,5,0,137.4,33.15,Medium
34662,CA-2011-115161,02-01-2011,02-03-2011,First Class,LC-17050,Liz Carlisle,Consumer,Mission Viejo,California,United States,92691,US,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4196,54.64,High
