Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Country,Region,Market,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority
MX-2015-HA1492051-42339,01-12-2015,07-12-2015,Standard Class,HA-1492051,Helen Andreada,Consumer,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,OFF-LA-4660,Office Supplies,Labels,"Hon File Folder Labels, Laser Printer Compatible",$5.76,1,0.0,$0.00,1.572,Low
MX-2015-HA1492051-42339,01-12-2015,07-12-2015,Standard Class,HA-1492051,Helen Andreada,Consumer,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,OFF-EN-4444,Office Supplies,Envelopes,"GlobeWeis Mailers, Security-Tint",$245.70,9,0.0,$98.28,30.74,Low
MX-2015-HA1492051-42339,01-12-2015,07-12-2015,Standard Class,HA-1492051,Helen Andreada,Consumer,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,OFF-SU-6165,Office Supplies,Supplies,"Stiletto Letter Opener, Easy Grip",$40.00,2,0.0,$9.60,4.448,Low
MX-2015-HA1492051-42339,01-12-2015,07-12-2015,Standard Class,HA-1492051,Helen Andreada,Consumer,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,OFF-AR-3495,Office Supplies,Art,"Binney & Smith Pens, Blue",$23.88,3,0.0,$1.38,3.61,Low
MX-2015-HA1492051-42339,01-12-2015,07-12-2015,Standard Class,HA-1492051,Helen Andreada,Consumer,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,OFF-ST-4096,Office Supplies,Storage,"Eldon Shelving, Single Width",$32.30,1,0.0,$12.26,2.957,Low
MX-2015-CC1243082-42339,01-12-2015,03-12-2015,First Class,CC-1243082,Chuck Clark,Home Office,Mérida,Yucatán,Mexico,Central America,LATAM,OFF-LA-3273,Office Supplies,Labels,"Avery File Folder Labels, Alphabetical",$11.92,2,0.0,$4.16,2.047,Critical
MX-2015-CC1243082-42339,01-12-2015,03-12-2015,First Class,CC-1243082,Chuck Clark,Home Office,Mérida,Yucatán,Mexico,Central America,LATAM,FUR-CH-5457,Furniture,Chairs,"Office Star Swivel Stool, Set of Two",$657.78,7,0.2,-$65.88,95.952,Critical
MX-2015-NM1844582-42339,01-12-2015,05-12-2015,Standard Class,NM-1844582,Nathan Mautz,Home Office,Mexico City,Distrito Federal,Mexico,Central America,LATAM,OFF-PA-6622,Office Supplies,Paper,"Xerox Parchment Paper, Multicolor",$29.34,3,0.0,$3.48,4.031,High
MX-2015-NM1844582-42339,01-12-2015,05-12-2015,Standard Class,NM-1844582,Nathan Mautz,Home Office,Mexico City,Distrito Federal,Mexico,Central America,LATAM,OFF-PA-4161,Office Supplies,Paper,"Enermax Memo Slips, Premium",$31.32,3,0.0,$0.30,2.597,High
MX-2015-NM1844582-42339,01-12-2015,05-12-2015,Standard Class,NM-1844582,Nathan Mautz,Home Office,Mexico City,Distrito Federal,Mexico,Central America,LATAM,OFF-BI-2895,Office Supplies,Binders,"Acco Binder, Clear",$9.74,1,0.0,$3.50,1.67,High
US-2015-BT1148555-42339,01-12-2015,03-12-2015,Second Class,BT-1148555,Brad Thomas,Home Office,Tegucigalpa,Francisco Morazán,Honduras,Central America,LATAM,OFF-SU-6177,Office Supplies,Supplies,"Stiletto Shears, High Speed",$115.42,6,0.4,-$21.26,5.966,Medium
US-2015-TB215205-42339,01-12-2015,04-12-2015,First Class,TB-215205,Tracy Blumstein,Consumer,San Luis,San Luis,Argentina,South America,LATAM,FUR-CH-4531,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",$947.22,5,0.4,-$236.88,197.179,Medium
MX-2015-DG1330082-42339,01-12-2015,02-12-2015,First Class,DG-1330082,Deirdre Greer,Corporate,Culiacán,Sinaloa,Mexico,Central America,LATAM,OFF-ST-6251,Office Supplies,Storage,"Tenex Folders, Single Width",$77.50,5,0.0,$3.80,17.903,Critical
US-2015-EN1378055-42339,01-12-2015,06-12-2015,Standard Class,EN-1378055,Edward Nazzal,Consumer,Tegucigalpa,Francisco Morazán,Honduras,Central America,LATAM,OFF-BI-2883,Office Supplies,Binders,"Acco 3-Hole Punch, Economy",$72.29,6,0.4,-$38.59,3.911,Medium
ES-2015-AH1007591-42339,01-12-2015,06-12-2015,Standard Class,AH-1007591,Adam Hart,Corporate,Veenendaal,Utrecht,Netherlands,Western Europe,Europe,OFF-BI-4830,Office Supplies,Binders,"Ibico Index Tab, Economy",$15.62,3,0.5,-$5.09,1.9,High
ES-2015-JL1550548-42339,01-12-2015,04-12-2015,First Class,JL-1550548,Jeremy Lonsdale,Consumer,Bielefeld,North Rhine-Westphalia,Germany,Western Europe,Europe,FUR-FU-5733,Furniture,Furnishings,"Rubbermaid Light Bulb, Durable",$126.96,8,0.0,$50.64,16.27,Critical
ES-2015-AH1069048-42339,01-12-2015,07-12-2015,Standard Class,AH-1069048,Anna Häberlin,Corporate,Cologne,North Rhine-Westphalia,Germany,Western Europe,Europe,OFF-EN-5035,Office Supplies,Envelopes,"Kraft Mailers, Set of 50",$225.90,6,0.0,$60.84,12.32,Medium
ES-2015-AH1069048-42339,01-12-2015,07-12-2015,Standard Class,AH-1069048,Anna Häberlin,Corporate,Cologne,North Rhine-Westphalia,Germany,Western Europe,Europe,OFF-BI-3251,Office Supplies,Binders,"Avery Binder, Clear",$86.52,7,0.0,$8.61,4.85,Medium
ES-2015-SC2080045-42339,01-12-2015,06-12-2015,Standard Class,SC-2080045,Stuart Calhoun,Consumer,Montreuil,Ile-de-France,France,Western Europe,Europe,OFF-BI-4813,Office Supplies,Binders,"Ibico Binder, Economy",$46.44,3,0.0,$12.96,3.14,Medium
ES-2015-SH2063545-42339,01-12-2015,07-12-2015,Standard Class,SH-2063545,Stefanie Holloman,Corporate,Schiltigheim,Alsace-Champagne-Ardenne-Lorraine,France,Western Europe,Europe,OFF-AR-3469,Office Supplies,Art,"BIC Sketch Pad, Easy-Erase",$146.79,3,0.0,$73.35,9.11,Medium
ES-2015-SH2063545-42339,01-12-2015,07-12-2015,Standard Class,SH-2063545,Stefanie Holloman,Corporate,Schiltigheim,Alsace-Champagne-Ardenne-Lorraine,France,Western Europe,Europe,OFF-ST-6039,Office Supplies,Storage,"Smead Folders, Industrial",$16.17,1,0.1,$2.31,1.19,Medium
ID-2015-HL1504059-42339,01-12-2015,05-12-2015,Standard Class,HL-1504059,Hunter Lopez,Consumer,Bogor,Jawa Barat,Indonesia,Southeastern Asia,Asia Pacific,OFF-PA-5870,Office Supplies,Paper,"SanDisk Memo Slips, Premium",$54.00,6,0.47,-$13.32,1.46,Medium
ID-2015-HL1504059-42339,01-12-2015,05-12-2015,Standard Class,HL-1504059,Hunter Lopez,Consumer,Bogor,Jawa Barat,Indonesia,Southeastern Asia,Asia Pacific,TEC-CO-3608,Technology,Copiers,"Brother Wireless Fax, Color","$1,414.53",4,0.07,-$106.47,106.99,Medium
IN-2015-KB1640559-42339,01-12-2015,06-12-2015,Standard Class,KB-1640559,Katrina Bavinger,Home Office,Palembang,Sumatera Selatan,Indonesia,Southeastern Asia,Asia Pacific,OFF-ST-4094,Office Supplies,Storage,"Eldon Shelving, Blue",$321.51,8,0.17,$116.07,24.06,Medium
IN-2015-KB1640559-42339,01-12-2015,06-12-2015,Standard Class,KB-1640559,Katrina Bavinger,Home Office,Palembang,Sumatera Selatan,Indonesia,Southeastern Asia,Asia Pacific,OFF-AP-4949,Office Supplies,Appliances,"KitchenAid Blender, Black",$407.86,5,0.17,$83.41,18.82,Medium
IN-2015-HG1484558-42339,01-12-2015,05-12-2015,Standard Class,HG-1484558,Harry Greene,Consumer,Rajkot,Gujarat,India,Southern Asia,Asia Pacific,OFF-BI-3712,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",$56.52,2,0.0,$23.70,2.15,Medium
IN-2015-HG1484558-42339,01-12-2015,05-12-2015,Standard Class,HG-1484558,Harry Greene,Consumer,Rajkot,Gujarat,India,Southern Asia,Asia Pacific,TEC-PH-5338,Technology,Phones,"Nokia Audio Dock, with Caller ID",$500.22,3,0.0,$190.08,19.28,Medium
IN-2015-HG1484558-42339,01-12-2015,05-12-2015,Standard Class,HG-1484558,Harry Greene,Consumer,Rajkot,Gujarat,India,Southern Asia,Asia Pacific,OFF-PA-5885,Office Supplies,Paper,"SanDisk Note Cards, Multicolor",$237.72,7,0.0,$52.29,16.17,Medium
IN-2015-HG1484558-42339,01-12-2015,05-12-2015,Standard Class,HG-1484558,Harry Greene,Consumer,Rajkot,Gujarat,India,Southern Asia,Asia Pacific,FUR-FU-3932,Furniture,Furnishings,"Deflect-O Door Stop, Black",$43.95,1,0.0,$10.98,3.63,Medium
