Order ID,31-12-2010,Ship Date,Ship Mode,EM-14139,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
IT-2011-3647632,01-01-2011,01-05-2011,Second Class,EM-14140,Eugene Moren,Home Office,Stockholm,Stockholm,Sweden,,EU,North,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium",44.865,3,0.5,-26.055,4.82,High
IN-2011-47883,01-01-2011,01-08-2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,,APAC,Oceania,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",120.366,3,0.1,36.036,9.72,Medium
IN-2011-47883,01-01-2011,01-08-2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,,APAC,Oceania,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",55.242,2,0.1,15.342,1.8,Medium
IN-2011-47883,01-01-2011,01-08-2011,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",113.67,5,0.1,37.77,4.7,Medium
AG-2011-2040,01-01-2011,01-06-2011,Standard Class,TB-11280,Toby Braunhardt,Consumer,Constantine,Constantine,Algeria,,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",408.3,2,0,106.14,35.46,Medium
HU-2011-1220,01-01-2011,01-05-2011,Second Class,AT-735,Annie Thurman,Consumer,Budapest,Budapest,Hungary,,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",66.12,4,0,29.64,8.17,High
US-2011-118892,02-01-2011,02-06-2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,OFF-BI-10000719,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear",9.576,6,0.4,-0.984,0.81,Medium
US-2011-118892,02-01-2011,02-06-2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,OFF-AP-10002317,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver",400.704,2,0.4,20.024,21.38,Medium
US-2011-118892,02-01-2011,02-06-2011,Standard Class,DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,,LATAM,Central,TEC-AC-10001221,Technology,Accessories,"Memorex Memory Card, USB",81.984,2,0.4,-19.136,6.21,Medium
ES-2011-2205486,02-01-2011,02-07-2011,Standard Class,IM-15055,Ionia McGrath,Consumer,Halle,North Rhine-Westphalia,Germany,,EU,Central,OFF-BI-10001249,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",21.06,3,0,10.53,1.86,Medium
ES-2011-2205486,02-01-2011,02-07-2011,Standard Class,IM-15055,Ionia McGrath,Consumer,Halle,North Rhine-Westphalia,Germany,,EU,Central,OFF-BI-10001717,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",11.82,2,0,4.2,0.93,Medium
ES-2011-5268439,02-01-2011,02-03-2011,Second Class,GH-14485,Gene Hale,Corporate,La Rochelle,Poitou-Charentes,France,,EU,Central,OFF-EN-10004597,Office Supplies,Envelopes,"GlobeWeis Peel and Seal, Set of 50",21.39,1,0,0,3.34,High
ES-2011-5268439,02-01-2011,02-03-2011,Second Class,GH-14485,Gene Hale,Corporate,La Rochelle,Poitou-Charentes,France,,EU,Central,OFF-AR-10001529,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase",139.65,5,0,15.3,19.23,High
ES-2011-5460465,02-01-2011,02-05-2011,Standard Class,RR-19315,Ralph Ritter,Consumer,Parma,Emilia-Romagna,Italy,,EU,South,OFF-AR-10000980,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",78.3,3,0,20.34,6.03,Medium
IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,TEC-CO-10002316,Technology,Copiers,"Brother Personal Copier, Laser",285.78,2,0,71.4,57.3,Critical
IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy",22.65,5,0,9.6,5.29,Critical
IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,OFF-SU-10000484,Office Supplies,Supplies,"Kleencut Ruler, High Speed",40.68,3,0,11.79,11.13,Critical
IN-2011-30733,02-01-2011,02-03-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia,OFF-LA-10001292,Office Supplies,Labels,"Smead File Folder Labels, Adjustable",20.34,3,0,9.9,3.78,Critical
ID-2011-56493,02-01-2011,02-03-2011,Second Class,SP-20650,Stephanie Phelps,Corporate,Yingcheng,Hubei,China,,APAC,North Asia,OFF-ST-10002161,Office Supplies,Storage,"Tenex Trays, Single Width",162.72,3,0,68.31,44.36,Critical
IN-2011-36074,02-01-2011,02-05-2011,Second Class,DK-13150,David Kendrick,Corporate,Chongqing,Chongqing,China,,APAC,North Asia,OFF-AP-10001254,Office Supplies,Appliances,"KitchenAid Coffee Grinder, Red",352.35,5,0,137.4,33.15,Medium
CA-2011-115161,02-01-2011,02-03-2011,First Class,LC-17050,Liz Carlisle,Consumer,Mission Viejo,California,United States,92691,US,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4196,54.64,High
IR-2011-6550,02-01-2011,02-06-2011,Standard Class,PO-8850,Patrick O'Brill,Consumer,Mashhad,Razavi Khorasan,Iran,,EMEA,EMEA,FUR-ADV-10002601,Furniture,Furnishings,"Advantus Photo Frame, Erganomic",309.6,6,0,148.5,19.65,High
AO-2011-1390,02-01-2011,02-04-2011,Second Class,DK-3150,David Kendrick,Corporate,Luanda,Luanda,Angola,,Africa,Africa,OFF-FEL-10001541,Office Supplies,Storage,"Fellowes Lockers, Wire Frame",206.4,1,0,92.88,53.08,Critical
ES-2011-2010166,03-01-2011,03-05-2011,Standard Class,LO-17170,Lori Olson,Corporate,Berlin,Berlin,Germany,,EU,Central,TEC-AC-10004791,Technology,Accessories,"Belkin Keyboard, USB",151.362,2,0.1,-5.058,14.22,Medium
ES-2011-1416586,03-01-2011,03-04-2011,Second Class,EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,,EU,Central,OFF-AR-10000505,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase",146.52,12,0,0,3.35,Medium
ES-2011-1416586,03-01-2011,03-04-2011,Second Class,EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,,EU,Central,TEC-MA-10001825,Technology,Machines,"Epson Calculator, Durable",46.53,1,0,12.54,6.09,Medium
ES-2011-1416586,03-01-2011,03-04-2011,Second Class,EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,,EU,Central,OFF-ST-10000127,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",102.438,2,0.1,35.238,3.3,Medium
ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,FUR-BO-10000259,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",1314.45,3,0,341.73,150.4,High
ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,FUR-CH-10002830,Furniture,Chairs,"Office Star Rocking Chair, Red",704.55,5,0,288.75,64.4,High
ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,OFF-AR-10004151,Office Supplies,Art,"BIC Sketch Pad, Blue",194.64,4,0,34.92,25.39,High
ES-2011-1705541,03-01-2011,03-06-2011,Standard Class,TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,,EU,North,OFF-AR-10004884,Office Supplies,Art,"Sanford Pens, Fluorescent",37.08,3,0,10.35,3.55,High
ES-2011-1517387,03-01-2011,03-08-2011,Standard Class,CM-12235,Chris McAfee,Consumer,Colmar,Alsace,France,,EU,Central,OFF-AR-10001418,Office Supplies,Art,"BIC Markers, Easy-Erase",106.8,4,0,29.88,16.48,Low
ES-2011-3893444,03-01-2011,03-05-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,,EU,Central,OFF-AP-10002568,Office Supplies,Appliances,"Hamilton Beach Toaster, Black",364.416,8,0.2,45.456,80.67,High
ES-2011-3893444,03-01-2011,03-05-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,,EU,Central,OFF-ST-10000875,Office Supplies,Storage,"Smead Shelving, Single Width",117.504,3,0.2,36.684,11.43,High
ES-2011-3893444,03-01-2011,03-05-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,,EU,Central,OFF-ST-10000988,Office Supplies,Storage,"Fellowes Folders, Blue",63.36,3,0.2,23.76,8.22,High
ES-2011-3227800,03-01-2011,03-05-2011,Standard Class,JF-15490,Jeremy Farry,Consumer,Rome,Lazio,Italy,,EU,South,OFF-BI-10003650,Office Supplies,Binders,"Ibico Index Tab, Clear",17.82,2,0,3.18,0.97,Medium
IN-2011-56738,03-01-2011,03-05-2011,Standard Class,RF-19345,Randy Ferguson,Corporate,Handa,Aichi,Japan,,APAC,North Asia,FUR-FU-10002210,Furniture,Furnishings,"Tenex Clock, Black",351.75,7,0,59.64,15.91,Medium
IN-2011-59986,03-01-2011,03-03-2011,First Class,KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,TEC-MA-10002520,Technology,Machines,"Panasonic Receipt Printer, White",214.758,2,0.1,7.158,55.67,High
IN-2011-59986,03-01-2011,03-03-2011,First Class,KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,OFF-BI-10004436,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",12.636,2,0.1,-1.164,1.05,High
IN-2011-59986,03-01-2011,03-03-2011,First Class,KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,,APAC,Oceania,OFF-SU-10001770,Office Supplies,Supplies,"Acme Scissors, Easy Grip",24.354,1,0.1,8.904,5.44,High
IN-2011-52146,03-01-2011,03-05-2011,Standard Class,BD-11620,Brian DeCherney,Consumer,Melbourne,Victoria,Australia,,APAC,Oceania,OFF-BI-10000583,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Clear",21.546,6,0.1,4.266,1.02,Medium
IN-2011-26946,03-01-2011,03-06-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Palembang,Sumatera Selatan,Indonesia,,APAC,Southeast Asia,FUR-CH-10001465,Furniture,Chairs,"Hon Swivel Stool, Red",238.929,2,0.27,62.169,15.01,Medium
IN-2011-26946,03-01-2011,03-06-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Palembang,Sumatera Selatan,Indonesia,,APAC,Southeast Asia,OFF-EN-10004495,Office Supplies,Envelopes,"Kraft Peel and Seal, Security-Tint",109.1853,9,0.47,-74.4147,14.58,Medium
ID-2011-50144,03-01-2011,03-05-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Hobart,Tasmania,Australia,,APAC,Oceania,TEC-PH-10001619,Technology,Phones,"Cisco Signal Booster, Full Size",91.872,1,0.4,-45.948,13.96,High
ID-2011-50144,03-01-2011,03-05-2011,Standard Class,LH-17155,Logan Haushalter,Consumer,Hobart,Tasmania,Australia,,APAC,Oceania,OFF-PA-10000116,Office Supplies,Paper,"Xerox Parchment Paper, Premium",23.868,3,0.4,-7.632,3.9,High
CA-2011-104269,03-01-2011,03-06-2011,Second Class,DB-13060,Dave Brooks,Consumer,Seattle,Washington,United States,98115,US,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,47.89,Medium
US-2011-143707,03-01-2011,03-05-2011,Standard Class,HR-14770,Hallie Redmond,Home Office,New York City,New York,United States,10035,US,East,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0,1.6038,0.42,Medium
CA-2011-113880,03-01-2011,03-05-2011,Standard Class,VF-21715,Vicky Freymann,Home Office,Elmhurst,Illinois,United States,60126,US,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.116,6,0.3,-172.1172,70.05,High
CA-2011-113880,03-01-2011,03-05-2011,Standard Class,VF-21715,Vicky Freymann,Home Office,Elmhurst,Illinois,United States,60126,US,Central,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,3,0.2,5.6784,1.94,High
